variable,dtype,missing_%,example_values
AddressNumber,object,0.0,"8, 155, 170"
BIA,object,0.0,"Yes, No"
BulkyItemBagLimit,int64,0.0,"0, 10, 6"
FullAddressWithSettlement,object,0.0,"8 Water St S, Cambridge, 2R-155 Thomas Slee Dr, Kitchener, 3F-155 Thomas Slee Dr, Kitchener"
FullStreetName,object,0.0,"Water St S, Thomas Slee Dr, Old Carriage Dr"
GarbagePickUpDayCode,object,0.0,"8W, 7R, 5B1"
GarbageServiceType,string,0.0,"Regional Pick Up, Private Molok Pick Up - Exemption, Private Dumpster Pick Up - Exemption"
GlobalID,object,0.0,"{AE4C0320-C693-43D2-8303-3A6A0CB7F0C1}, {AE635343-C9F4-4AA2-9937-0A32A6B40507}, {269F36DD-F248-4691-B61B-CEC6A2ED7C60}"
GreenBinPickUpDayCode,object,0.0,"7R, 5W, 3W"
GreenCartAvailable,string,72.91771650709093,"No, Yes"
GreenCartDay,object,73.03214121979775,"Not Applicable, Tuesday, Tuesday and Friday"
LargeItemPickUpDayCode,object,0.0,"7R, 5B1, 3B1"
Municipality,string,0.0,"Cambridge, Kitchener, Wilmot"
NumberOfUnits,float64,7.258012571562807,"0.0, 40.0, 54.0"
OBJECTID,int64,0.0,"2, 68, 69"
ROWRecycle,string,0.0,"Yes, No"
RecycleCartCollectionLocation,object,99.89504753172255,"At docks on Ellen Street (bi-weekly collection), At back of building by dumpster, In parking lot by MOLOK"
RecycleCartDay,object,73.02759454247165,"Not Applicable, Thursday, Tuesday"
RecycleService,string,73.00789227405855,"Molok (Private), Private, Circular Materials (Miller/Emterra)"
RecyclingPickUpDayCode,object,0.0,"5W, 7R, 3W"
Settlement,string,0.0,"Cambridge, Kitchener, New Hamburg"
UnitNumber,object,64.5647124794926,"2R, 3F, 2M"
WasteBagLimit,int64,0.0,"10, 0, 6"
WasteExemptionID,float64,73.12534810498278,"100414.0, 3822.0, 3845.0"
WasteParcelRMWID,object,0.0,"WMP81334, WMP19027, WMP92475"
X,float64,0.0,"555469.7763, 545299.9851, 545348.8873"
Y,float64,0.0,"4800862.7837, 4802163.7814, 4802135.1593"
YardWastePickUpDayCode,object,0.0,"7R, 5B1, 3B1"
density_group,category,0.0,"Low (1 unit), High (5+ units), Medium (2–4 units)"
density_group,category,0.0,"Low (1 unit), High (5+ units), Medium (2–4 units)"
is_regional,int,0.0,"0, 1"
log_units,float,0.0,"0.0, 3.713572066704308, 4.007333185232471"
service_group,object,0.0,"Regional, Private, Other/Unknown"
service_group,category,0.0,"Regional, Private, Other/Unknown"
